case_id,cnr_number,district,court_type,case_type,case_subtype,acts_and_sections,case_status,filed_date,last_hearing_date,petitioner_status,number_of_petitioners,number_of_respondents,petitioner_has_legal_aid,is_government_litigant,judge_id,judge_efficiency_score,evidence_complexity_score,is_bailable,fir_number,undertrial_duration_months,dispute_value_inr,is_commercial_dispute,case_age_days,adjournments_count,priority_score
CASE20250010,KA2408-970056-2012,Nashik,District Court,Criminal,Theft,POCSO Act,Evidence,06-10-2013,04-10-2015,Corporation,2,5,FALSE,FALSE,JUDGE-19,1.403128866,5,Non-Bailable,FIR-161/2025,0,,FALSE,4388,73,52.5
CASE20250011,KA8407-132071-2011,Sirsa,High Court,Criminal,Cybercrime,POCSO Act,Arguments,27-01-2021,10-11-2022,Senior Citizen,1,5,TRUE,FALSE,JUDGE-1,0.940730844,10,Bailable,FIR-630/2025,0,,FALSE,1718,6,33.57
CASE20250012,KA9506-951636-2019,Aurangabad,District Court,Criminal,Fraud,NDPS Act,Pleadings,28-05-2022,26-12-2022,Normal,4,6,TRUE,FALSE,JUDGE-11,0.648393063,10,Non-Bailable,FIR-610/2025,0,,FALSE,1232,65,38.44
CASE20250013,KA8506-706530-2011,Narasaraopet,District Court,Civil,Contract Breach,Civil Procedure Code,Evidence,23-11-2024,10-05-2025,Normal,2,1,FALSE,FALSE,JUDGE-19,1.403128866,7,,,0,565798,FALSE,322,48,20.11
CASE20250014,KA2706-818396-2012,Thanjavur,District Court,Criminal,Cybercrime,IPC 302,Summons,12-04-2011,23-07-2012,Normal,5,1,FALSE,TRUE,JUDGE-16,0.919818682,5,Bailable,FIR-682/2025,0,,FALSE,5296,20,38.5
CASE20250015,KA6608-474482-2016,Srikakulam,High Court,Criminal,Fraud,NDPS Act,Summons,21-11-2018,17-11-2019,Normal,2,3,TRUE,TRUE,JUDGE-7,1.023783949,1,Non-Bailable,FIR-809/2025,0,,FALSE,2516,19,38.43
CASE20250016,KA6004-378883-2019,Kolkata,Magistrate Court,Civil,Tort Claim,Civil Procedure Code,Evidence,01-03-2017,26-01-2019,Corporation,5,4,FALSE,TRUE,JUDGE-14,1.482045073,5,,,0,1687346,FALSE,3146,44,42.25
CASE20250017,KA8505-383615-2023,Phusro,District Court,Commercial,Shareholder Dispute,"Companies Act, 2013",Pleadings,13-06-2016,13-09-2016,Normal,5,1,FALSE,TRUE,JUDGE-9,0.857957551,4,,,0,87250484,TRUE,3407,43,58.24
CASE20250018,KA5409-989130-2012,Tirupati,District Court,Civil,Tort Claim,Civil Procedure Code,Arguments,17-11-2021,28-06-2023,Undertrial,2,6,FALSE,TRUE,JUDGE-4,0.735865936,4,,,0,221535,FALSE,1424,13,45.65
CASE20250019,KA4306-834003-2013,Sirsa,District Court,Commercial,Insolvency,"Companies Act, 2013",Summons,10-11-2015,07-11-2016,Normal,5,5,TRUE,FALSE,JUDGE-15,0.60039864,2,,,0,26209857,TRUE,3623,16,45.45
CASE20250020,KA2909-331400-2015,Hazaribagh,High Court,Criminal,Theft,IPC 420,Summons,02-03-2017,13-04-2017,Senior Citizen,3,6,FALSE,FALSE,JUDGE-13,1.153669741,10,Non-Bailable,FIR-296/2025,0,,FALSE,3145,27,59.64
CASE20250021,KA5706-476181-2013,Machilipatnam,District Court,Commercial,Intellectual Property,"Companies Act, 2013",Summons,22-05-2023,20-04-2025,Normal,4,1,FALSE,FALSE,JUDGE-17,1.392299379,10,,,0,43839043,TRUE,873,8,28.38
CASE20250022,KA1805-436969-2019,Mumbai,District Court,Criminal,Fraud,IPC 420,Evidence,08-09-2013,16-07-2015,Normal,3,6,TRUE,FALSE,JUDGE-14,1.482045073,5,Bailable,FIR-966/2025,0,,FALSE,4416,1,27.8
CASE20250023,KA8903-275304-2015,Vadodara,District Court,Family,Child Custody,Civil Procedure Code,Summons,02-06-2015,25-08-2016,Senior Citizen,2,7,FALSE,TRUE,JUDGE-7,1.023783949,3,,,0,0,FALSE,3784,63,61.5
CASE20250024,KA9902-187432-2011,Medininagar,District Court,Criminal,Cybercrime,NDPS Act,Evidence,03-02-2016,18-10-2016,Normal,2,5,TRUE,FALSE,JUDGE-2,1.372803497,5,Non-Bailable,FIR-879/2025,0,,FALSE,3538,62,51.73
CASE20250025,KA4408-189792-2014,Howrah,District Court,Civil,Tort Claim,Civil Procedure Code,Summons,09-02-2012,15-10-2013,Senior Citizen,5,3,FALSE,FALSE,JUDGE-20,0.760254494,4,,,0,3695199,FALSE,4993,58,57
CASE20250026,KA5907-409011-2012,Aligarh,District Court,Commercial,Intellectual Property,"Companies Act, 2013",Evidence,16-08-2015,29-07-2016,Senior Citizen,5,5,TRUE,FALSE,JUDGE-17,1.392299379,9,,,0,59081927,TRUE,3709,58,74.5
CASE20250027,KA9303-465465-2018,Aurangabad,District Court,Civil,Contract Breach,Civil Procedure Code,Summons,18-06-2018,11-12-2018,Senior Citizen,1,4,FALSE,FALSE,JUDGE-11,0.648393063,9,,,0,3192515,FALSE,2672,48,52.2
CASE20250028,KA5104-179806-2012,Bulandshahr,High Court,Criminal,Fraud,POCSO Act,Evidence,08-07-2013,13-12-2014,Normal,2,6,FALSE,FALSE,JUDGE-8,1.203428678,9,Non-Bailable,FIR-536/2025,0,,FALSE,4478,10,42.5
CASE20250029,KA7505-220141-2014,Tirunelveli,District Court,Criminal,Dowry,NDPS Act,Arguments,30-10-2010,03-06-2011,Woman/Child,2,5,TRUE,TRUE,JUDGE-7,1.023783949,5,Bailable,FIR-258/2025,0,,FALSE,5460,7,49.6
CASE20250030,KA9402-306043-2019,Bhatpara,District Court,Criminal,Fraud,NDPS Act,Order Pending,11-10-2014,26-10-2015,Normal,4,2,FALSE,TRUE,JUDGE-15,0.60039864,4,Bailable,FIR-241/2025,0,,FALSE,4018,70,47
CASE20250031,KA1103-793998-2023,Bhimavaram,District Court,Civil,Tort Claim,Civil Procedure Code,Evidence,21-07-2020,07-03-2021,Normal,2,6,FALSE,FALSE,JUDGE-5,1.277799327,7,,,0,1478099,FALSE,1908,25,24.07
CASE20250032,KA3304-238095-2019,Indore,High Court,Family,Child Custody,Civil Procedure Code,Arguments,27-04-2025,02-03-2027,Woman/Child,1,3,TRUE,FALSE,JUDGE-1,0.940730844,6,,,0,0,FALSE,167,33,29.04
CASE20250033,KA1905-656264-2013,Adoni,District Court,Commercial,Intellectual Property,"Companies Act, 2013",Arguments,17-01-2014,17-08-2015,Woman/Child,4,6,FALSE,FALSE,JUDGE-10,0.874007546,7,,,0,78842798,TRUE,4285,28,66.9
CASE20250034,KA2104-310025-2010,Kulti,High Court,Civil,Eviction,Civil Procedure Code,Evidence,14-08-2023,17-09-2023,Normal,1,2,FALSE,FALSE,JUDGE-13,1.153669741,2,,,0,3991498,FALSE,789,73,21.4
CASE20250035,KA8407-599992-2024,Bhagalpur,District Court,Criminal,Assault,NDPS Act,Arguments,08-03-2012,20-11-2012,Normal,1,6,FALSE,FALSE,JUDGE-11,0.648393063,9,Bailable,FIR-535/2025,0,,FALSE,4965,51,44.5
CASE20250036,KA6801-790152-2012,Chittoor,Magistrate Court,Criminal,Theft,POCSO Act,Evidence,30-01-2025,03-02-2026,Normal,4,5,FALSE,FALSE,JUDGE-16,0.919818682,10,Non-Bailable,FIR-307/2025,0,,FALSE,254,42,29.34
CASE20250037,KA3806-369438-2020,Thanjavur,District Court,Family,Maintenance,Civil Procedure Code,Summons,20-06-2025,06-04-2027,Normal,2,7,FALSE,FALSE,JUDGE-14,1.482045073,6,,,0,0,FALSE,113,29,12.47
CASE20250038,KA9809-770920-2010,Coimbatore,District Court,Criminal,Cybercrime,POCSO Act,Summons,16-11-2013,03-10-2014,Normal,1,3,FALSE,FALSE,JUDGE-18,0.982453115,3,Bailable,FIR-133/2025,0,,FALSE,4347,0,26.5
CASE20250039,KA7409-484014-2022,Machilipatnam,District Court,Civil,Eviction,Civil Procedure Code,Arguments,17-06-2022,07-10-2023,Senior Citizen,3,3,FALSE,FALSE,JUDGE-5,1.277799327,9,,,0,1220386,FALSE,1212,20,33.8
CASE20250040,KA7207-778520-2021,Noida,District Court,Property,Title Dispute,Civil Procedure Code,Evidence,30-10-2023,23-12-2023,Corporation,4,2,FALSE,FALSE,JUDGE-6,0.824435775,2,,,0,4048892,FALSE,712,45,19.38
CASE20250041,KA2307-268870-2014,Udupi,District Court,Commercial,Shareholder Dispute,"Companies Act, 2013",Evidence,03-04-2018,23-06-2019,Senior Citizen,1,1,FALSE,TRUE,JUDGE-17,1.392299379,5,,,0,45293872,TRUE,2748,74,71.32
CASE20250042,KA9201-600183-2023,Eluru,District Court,Civil,Eviction,Civil Procedure Code,Evidence,14-05-2022,12-11-2022,Normal,4,1,TRUE,TRUE,JUDGE-19,1.403128866,3,,,0,1915998,FALSE,1246,24,22.23
CASE20250043,KA3309-179021-2022,Kollam,District Court,Criminal,Fraud,IPC 420,Order Pending,27-05-2023,01-07-2024,Normal,2,7,FALSE,TRUE,JUDGE-16,0.919818682,1,Non-Bailable,FIR-69/2025,0,,FALSE,868,46,35.25
CASE20250044,KA2306-166288-2019,Asansol,District Court,Criminal,Theft,NDPS Act,Arguments,23-03-2017,29-01-2018,Undertrial,1,5,TRUE,FALSE,JUDGE-14,1.482045073,1,Bailable,FIR-331/2025,57,,FALSE,3124,26,64.7
CASE20250045,KA5002-805819-2023,Bihar Sharif,High Court,Commercial,Insolvency,"Companies Act, 2013",Pleadings,19-01-2021,26-10-2021,Normal,1,4,FALSE,FALSE,JUDGE-2,1.372803497,4,,,0,39208422,TRUE,1726,11,32.12
CASE20250046,KA2908-539142-2020,Amravati,District Court,Criminal,Dowry,IPC 420,Evidence,06-02-2025,10-04-2026,Normal,5,5,FALSE,FALSE,JUDGE-3,1.394636182,8,Bailable,FIR-393/2025,0,,FALSE,247,53,20.69
CASE20250047,KA8708-260906-2024,Bangalore,District Court,Civil,Eviction,Civil Procedure Code,Order Pending,16-03-2011,18-04-2012,Undertrial,2,2,FALSE,FALSE,JUDGE-16,0.919818682,6,,,0,4530678,FALSE,5323,21,59.3
CASE20250048,KA9108-870367-2018,Gopalpur,High Court,Civil,Eviction,Civil Procedure Code,Evidence,01-06-2013,03-11-2013,Corporation,2,1,FALSE,FALSE,JUDGE-2,1.372803497,5,,,0,2258588,FALSE,4515,38,38.9
CASE20250049,KA6602-276576-2011,Patiala,District Court,Civil,Land Dispute,Civil Procedure Code,Arguments,01-11-2013,27-06-2014,Normal,1,2,FALSE,FALSE,JUDGE-16,0.919818682,4,,,0,1041363,FALSE,4362,61,42
CASE20250050,KA8104-284756-2014,Korba,District Court,Property,Title Dispute,Civil Procedure Code,Summons,17-08-2017,16-08-2018,Normal,4,5,TRUE,FALSE,JUDGE-7,1.023783949,9,,,0,4510613,FALSE,2977,70,39.89
CASE20250051,KA3908-358601-2012,Bangalore,District Court,Property,Inheritance,Civil Procedure Code,Summons,21-04-2023,03-07-2024,Senior Citizen,4,2,FALSE,FALSE,JUDGE-12,0.640932752,6,,,0,4920231,FALSE,904,24,31.39
CASE20250052,KA6802-789442-2015,Indore,District Court,Criminal,Assault,POCSO Act,Arguments,18-03-2016,25-02-2017,Normal,1,3,FALSE,FALSE,JUDGE-9,0.857957551,7,Non-Bailable,FIR-405/2025,0,,FALSE,3494,50,52.43
CASE20250053,KA9405-996633-2013,Agartala,District Court,Criminal,Theft,NDPS Act,Order Pending,27-11-2012,18-07-2014,Normal,2,5,TRUE,FALSE,JUDGE-9,0.857957551,5,Bailable,FIR-536/2025,0,,FALSE,4701,70,42.5
CASE20250054,KA8603-329020-2021,Panipat,District Court,Civil,Tort Claim,Civil Procedure Code,Summons,04-12-2013,08-05-2015,Normal,4,5,FALSE,FALSE,JUDGE-20,0.760254494,6,,,0,4444326,FALSE,4329,17,33.1
CASE20250055,KA6805-497174-2011,Navi Mumbai,District Court,Commercial,Intellectual Property,"Companies Act, 2013",Arguments,09-07-2018,27-03-2020,Normal,2,4,FALSE,TRUE,JUDGE-1,0.940730844,4,,,0,59374647,TRUE,2651,46,53.96
CASE20250056,KA2205-957096-2013,Gopalpur,District Court,Criminal,Fraud,POCSO Act,Evidence,17-01-2015,15-05-2016,Normal,2,3,FALSE,FALSE,JUDGE-14,1.482045073,6,Non-Bailable,FIR-492/2025,0,,FALSE,3920,65,53
CASE20250057,KA1003-751447-2023,Hazaribagh,High Court,Commercial,Shareholder Dispute,"Companies Act, 2013",Summons,05-11-2011,26-01-2012,Normal,3,2,FALSE,TRUE,JUDGE-9,0.857957551,8,,,0,11350467,TRUE,5089,22,54.71
CASE20250058,KA7805-410071-2014,New Delhi,District Court,Family,Child Custody,Civil Procedure Code,Evidence,20-08-2024,18-11-2024,Normal,5,3,TRUE,FALSE,JUDGE-1,0.940730844,8,,,0,0,FALSE,417,0,6.86
CASE20250059,KA1101-421125-2015,Raiganj,High Court,Criminal,Fraud,NDPS Act,Order Pending,13-04-2013,12-03-2014,Corporation,2,3,FALSE,FALSE,JUDGE-6,0.824435775,5,Non-Bailable,FIR-923/2025,0,,FALSE,4564,57,52.5
CASE20250060,KA5706-236454-2017,Madanapalle,High Court,Family,Child Custody,Civil Procedure Code,Arguments,16-10-2017,23-09-2019,Normal,1,6,TRUE,FALSE,JUDGE-6,0.824435775,10,,,0,0,FALSE,2917,72,39.98
CASE20250061,KA4203-558274-2010,Bhiwandi,District Court,Property,Partition Suit,Civil Procedure Code,Evidence,14-12-2015,01-02-2016,Normal,2,1,FALSE,FALSE,JUDGE-4,0.735865936,2,,,0,4468132,FALSE,3589,55,40.58
CASE20250062,KA2605-111854-2020,Guna,High Court,Civil,Contract Breach,Civil Procedure Code,Arguments,16-03-2021,21-04-2022,Normal,5,5,FALSE,FALSE,JUDGE-20,0.760254494,10,,,0,4881030,FALSE,1670,6,18.24
CASE20250063,KA9101-883959-2015,Guna,District Court,Commercial,Intellectual Property,"Companies Act, 2013",Arguments,09-07-2016,23-01-2017,Normal,2,5,FALSE,FALSE,JUDGE-18,0.982453115,1,,,0,36245260,TRUE,3381,71,53.66
CASE20250064,KA2703-406317-2010,Indore,High Court,Civil,Contract Breach,Civil Procedure Code,Arguments,29-07-2023,30-04-2025,Normal,4,3,TRUE,FALSE,JUDGE-5,1.277799327,3,,,0,4957117,FALSE,805,0,7.01
CASE20250065,KA8203-951153-2019,Eluru,High Court,Civil,Tort Claim,Civil Procedure Code,Arguments,22-02-2020,14-07-2021,Corporation,5,5,FALSE,FALSE,JUDGE-19,1.403128866,1,,,0,4098182,FALSE,2058,47,28.7
CASE20250066,KA2507-953436-2016,Rohtak,District Court,Civil,Tort Claim,Civil Procedure Code,Summons,23-04-2020,09-12-2020,Normal,2,3,FALSE,FALSE,JUDGE-3,1.394636182,7,,,0,2659174,FALSE,1997,34,27.38
CASE20250067,KA8004-624692-2023,Ghaziabad,District Court,Commercial,Insolvency,"Companies Act, 2013",Evidence,02-11-2020,26-02-2022,Corporation,1,1,FALSE,TRUE,JUDGE-7,1.023783949,5,,,0,40275099,TRUE,1804,32,44.46
CASE20250068,KA6804-734215-2023,Gudivada,High Court,Commercial,Intellectual Property,"Companies Act, 2013",Evidence,16-02-2016,18-05-2016,Undertrial,1,4,FALSE,FALSE,JUDGE-6,0.824435775,10,,,0,1106263,TRUE,3525,7,68.33
CASE20250069,KA3103-710318-2018,Shimoga,District Court,Family,Divorce,Civil Procedure Code,Arguments,31-07-2013,10-02-2014,Undertrial,3,3,FALSE,FALSE,JUDGE-14,1.482045073,8,,,0,0,FALSE,4455,63,69
CASE20250070,KA7809-600004-2012,Ratlam,District Court,Criminal,Dowry,NDPS Act,Arguments,15-09-2024,20-09-2025,Corporation,5,7,TRUE,FALSE,JUDGE-14,1.482045073,3,Non-Bailable,FIR-26/2025,0,,FALSE,391,42,26.78
CASE20250071,KA3005-792934-2011,Meerut,Magistrate Court,Criminal,Theft,POCSO Act,Arguments,05-10-2012,07-05-2013,Normal,2,4,FALSE,FALSE,JUDGE-10,0.874007546,9,Bailable,FIR-660/2025,0,,FALSE,4754,63,44.5
CASE20250072,KA6203-235104-2021,Jodhpur,District Court,Civil,Land Dispute,Civil Procedure Code,Arguments,17-09-2020,17-06-2022,Normal,3,1,FALSE,FALSE,JUDGE-5,1.277799327,9,,,0,2433731,FALSE,1850,20,23.17
CASE20250073,KA8003-872096-2019,Jammu,High Court,Property,Inheritance,Civil Procedure Code,Evidence,18-02-2015,02-11-2015,Normal,2,1,FALSE,FALSE,JUDGE-15,0.60039864,2,,,0,4315745,FALSE,3888,39,37.7
CASE20250074,KA7505-918322-2024,Madanapalle,District Court,Commercial,Shareholder Dispute,"Companies Act, 2013",Summons,14-02-2014,01-06-2015,Normal,5,4,FALSE,FALSE,JUDGE-11,0.648393063,2,,,0,65596982,TRUE,4257,17,46.1
CASE20250075,KA6409-759863-2015,Bathinda,High Court,Property,Partition Suit,Civil Procedure Code,Evidence,02-01-2022,22-09-2022,Normal,3,5,TRUE,FALSE,JUDGE-6,0.824435775,9,,,0,4262398,FALSE,1378,24,21.14
CASE20250076,KA1509-608457-2011,Panipat,District Court,Civil,Land Dispute,Civil Procedure Code,Evidence,03-03-2022,07-02-2024,Senior Citizen,1,1,FALSE,FALSE,JUDGE-11,0.648393063,4,,,0,2620879,FALSE,1318,39,37.73
CASE20250077,KA8109-950713-2012,Tiruvottiyur,District Court,Civil,Tort Claim,Civil Procedure Code,Summons,28-03-2011,01-03-2012,Normal,5,3,FALSE,TRUE,JUDGE-2,1.372803497,4,,,0,4696387,FALSE,5311,36,42.8
CASE20250078,KA7509-708866-2016,South Dumdum,District Court,Criminal,Cybercrime,IPC 302,Evidence,16-04-2011,18-03-2013,Normal,3,7,FALSE,TRUE,JUDGE-19,1.403128866,5,Bailable,FIR-813/2025,0,,FALSE,5292,46,46.3
CASE20250079,KA5305-744791-2017,Bangalore,District Court,Family,Divorce,Civil Procedure Code,Summons,30-03-2017,29-04-2018,Normal,5,7,FALSE,FALSE,JUDGE-9,0.857957551,1,,,0,0,FALSE,3117,15,26.35
CASE20250080,KA4505-611709-2016,South Dumdum,District Court,Commercial,Intellectual Property,"Companies Act, 2013",Pleadings,17-03-2016,10-08-2017,Normal,4,6,FALSE,FALSE,JUDGE-13,1.153669741,5,,,0,14059383,TRUE,3495,3,41.63
CASE20250081,KA1009-730544-2017,Pudukkottai,High Court,Criminal,Assault,POCSO Act,Arguments,21-10-2023,19-04-2024,Normal,4,1,FALSE,FALSE,JUDGE-5,1.277799327,7,Non-Bailable,FIR-31/2025,0,,FALSE,721,28,26.84
CASE20250082,KA9201-925135-2016,Nadiad,District Court,Criminal,Fraud,IPC 420,Arguments,26-02-2018,22-06-2019,Normal,4,7,FALSE,TRUE,JUDGE-16,0.919818682,7,Bailable,FIR-627/2025,0,,FALSE,2784,59,42.57
CASE20250083,KA3908-741926-2024,Malda,District Court,Civil,Land Dispute,Civil Procedure Code,Arguments,31-08-2015,20-06-2017,Normal,5,7,FALSE,TRUE,JUDGE-2,1.372803497,3,,,0,529796,FALSE,3694,56,46.5
CASE20250084,KA2807-725755-2022,Shimoga,District Court,Criminal,Cybercrime,POCSO Act,Summons,11-08-2013,22-09-2013,Senior Citizen,5,4,FALSE,FALSE,JUDGE-13,1.153669741,6,Bailable,FIR-525/2025,0,,FALSE,4444,9,45.7
CASE20250085,KA9506-315200-2019,Kolhapur,District Court,Family,Maintenance,Civil Procedure Code,Summons,27-02-2014,14-08-2015,Corporation,2,6,TRUE,FALSE,JUDGE-19,1.403128866,5,,,0,0,FALSE,4244,64,42.5
CASE20250086,KA6505-160465-2024,New Delhi,High Court,Family,Maintenance,Civil Procedure Code,Arguments,23-07-2015,08-12-2015,Corporation,2,7,FALSE,FALSE,JUDGE-3,1.394636182,10,,,0,0,FALSE,3733,34,40.2
CASE20250087,KA6403-862689-2023,Korba,District Court,Criminal,Cybercrime,IPC 420,Summons,03-04-2020,02-09-2021,Undertrial,5,7,FALSE,FALSE,JUDGE-10,0.874007546,2,Bailable,FIR-556/2025,25,,FALSE,2017,60,64.82
CASE20250088,KA2503-149301-2021,Sirsa,District Court,Criminal,Cybercrime,IPC 420,Evidence,16-06-2025,17-10-2025,Normal,1,1,FALSE,FALSE,JUDGE-9,0.857957551,10,Bailable,FIR-296/2025,0,,FALSE,117,4,7
CASE20250089,KA5208-414790-2010,Dibrugarh,District Court,Commercial,Insolvency,"Companies Act, 2013",Evidence,13-01-2024,18-11-2024,Corporation,4,7,FALSE,FALSE,JUDGE-13,1.153669741,1,,,0,70403399,TRUE,637,53,34.86
CASE20250090,KA1203-241218-2024,Bilaspur,Magistrate Court,Commercial,Insolvency,"Companies Act, 2013",Evidence,13-06-2011,18-03-2013,Normal,2,1,TRUE,FALSE,JUDGE-3,1.394636182,9,,,0,65680298,TRUE,5234,71,59.5
CASE20250091,KA7705-594055-2020,Phusro,District Court,Property,Partition Suit,Civil Procedure Code,Evidence,08-03-2023,19-04-2024,Corporation,1,1,FALSE,FALSE,JUDGE-9,0.857957551,1,,,0,4161980,FALSE,948,18,12.39
CASE20250092,KA6005-126855-2016,Bhopal,District Court,Commercial,Insolvency,"Companies Act, 2013",Order Pending,23-05-2021,20-12-2022,Normal,2,6,FALSE,TRUE,JUDGE-14,1.482045073,4,,,0,35647910,TRUE,1602,46,46.77
CASE20250093,KA4106-697612-2020,Ambattur,District Court,Civil,Eviction,Civil Procedure Code,Summons,26-06-2012,24-06-2014,Normal,1,5,TRUE,FALSE,JUDGE-13,1.153669741,9,,,0,2555585,FALSE,4855,19,35.2
CASE20250094,KA4301-702088-2017,Noida,District Court,Criminal,Dowry,IPC 302,Evidence,20-09-2017,15-11-2018,Normal,4,7,TRUE,FALSE,JUDGE-2,1.372803497,2,Bailable,FIR-416/2025,0,,FALSE,2943,58,36.16
CASE20250095,KA9303-680241-2013,Jalna,High Court,Civil,Contract Breach,Civil Procedure Code,Arguments,14-02-2023,05-06-2023,Normal,3,6,FALSE,TRUE,JUDGE-14,1.482045073,6,,,0,674523,FALSE,970,3,15.54
CASE20250096,KA9307-598534-2013,Orai,Magistrate Court,Criminal,Fraud,IPC 302,Evidence,20-03-2013,05-05-2013,Woman/Child,5,1,FALSE,TRUE,JUDGE-9,0.857957551,4,Bailable,FIR-814/2025,0,,FALSE,4588,46,60.8
CASE20250097,KA5801-108138-2010,Warangal,District Court,Commercial,Intellectual Property,"Companies Act, 2013",Summons,10-01-2016,16-06-2017,Normal,2,5,FALSE,TRUE,JUDGE-14,1.482045073,10,,,0,39704425,TRUE,3562,29,58.1
CASE20250098,KA5609-609274-2019,Gudivada,District Court,Criminal,Theft,IPC 302,Arguments,04-07-2023,20-01-2025,Normal,5,4,FALSE,FALSE,JUDGE-2,1.372803497,1,Non-Bailable,FIR-74/2025,0,,FALSE,830,46,29.98
CASE20250099,KA9307-718539-2014,Mirzapur,High Court,Criminal,Theft,IPC 302,Evidence,26-02-2013,26-01-2014,Normal,2,6,FALSE,TRUE,JUDGE-12,0.640932752,5,Non-Bailable,FIR-362/2025,0,,FALSE,4610,8,44.9
CASE20250100,KA3708-967790-2021,Tiruchirappalli,High Court,Civil,Eviction,Civil Procedure Code,Summons,14-06-2017,13-01-2019,Normal,1,7,TRUE,FALSE,JUDGE-16,0.919818682,8,,,0,102807,FALSE,3041,58,39.83
CASE20250101,KA8109-436579-2022,Panvel,High Court,Family,Child Custody,Civil Procedure Code,Arguments,10-02-2012,30-03-2013,Normal,2,5,FALSE,TRUE,JUDGE-3,1.394636182,8,,,0,0,FALSE,4992,23,40.9
CASE20250102,KA7605-391696-2018,Junagadh,District Court,Criminal,Dowry,IPC 302,Pleadings,04-12-2016,25-07-2017,Normal,3,7,TRUE,TRUE,JUDGE-12,0.640932752,6,Bailable,FIR-257/2025,0,,FALSE,3233,38,41.54
CASE20250103,KA4609-626164-2015,Jamalpur,Magistrate Court,Civil,Tort Claim,Civil Procedure Code,Evidence,04-04-2016,21-12-2017,Undertrial,4,5,FALSE,FALSE,JUDGE-6,0.824435775,6,,,0,4023982,FALSE,3477,0,51.82
CASE20250104,KA4902-430499-2015,Kamarhati,District Court,Criminal,Theft,IPC 420,Evidence,14-07-2012,05-03-2013,Senior Citizen,4,4,FALSE,FALSE,JUDGE-1,0.940730844,6,Bailable,FIR-586/2025,0,,FALSE,4837,25,50.5
CASE20250105,KA2607-925884-2018,Gandhidham,District Court,Criminal,Fraud,IPC 302,Evidence,29-12-2012,07-11-2013,Normal,3,7,FALSE,FALSE,JUDGE-13,1.153669741,3,Non-Bailable,FIR-495/2025,0,,FALSE,4669,16,41.3
CASE20250106,KA5903-971440-2021,Warangal,Magistrate Court,Criminal,Theft,POCSO Act,Evidence,10-02-2018,05-01-2020,Undertrial,1,6,FALSE,FALSE,JUDGE-10,0.874007546,9,Bailable,FIR-870/2025,72,,FALSE,2800,67,73.68
